instrument_name,type,expiry_date,strike,T_years,S0,market_price_btc,market_price_usd,mark_iv,bid_btc,ask_btc,spread_pct,open_interest
BTC-7DEC25-86000-P,put,7DEC25,86000.0,0.00626,92497.5142857143,0.00061472,56.86007198171429,52.08,0.0006,0.0008,0.3254,39.1
BTC-7DEC25-88000-P,put,7DEC25,88000.0,0.00626,92497.5142857143,0.00149659,138.43085490485714,46.86,0.0013,0.0017,0.2673,243.3
BTC-7DEC25-89000-C,call,7DEC25,89000.0,0.00626,92496.54285714285,0.04011445,3710.4479436157144,44.02,0.0395,0.0415,0.0499,0.5
BTC-7DEC25-89000-P,put,7DEC25,89000.0,0.00626,92496.54285714285,0.00231258,213.9056550805714,44.02,0.0021,0.0025,0.173,49.7
BTC-7DEC25-90000-C,call,7DEC25,90000.0,0.00626,92496.54285714285,0.03068849,2838.5792305059995,41.64,0.03,0.032,0.0652,5.1
BTC-7DEC25-90000-P,put,7DEC25,90000.0,0.00626,92496.54285714285,0.00369783,342.0364910734285,41.64,0.0035,0.0039,0.1082,39.7
BTC-7DEC25-91000-C,call,7DEC25,91000.0,0.00626,92496.54285714285,0.02220214,2053.6211940302856,39.87,0.0215,0.0235,0.0901,14.9
BTC-7DEC25-91000-P,put,7DEC25,91000.0,0.00626,92496.54285714285,0.0060227,557.0789286657142,39.87,0.0055,0.0065,0.166,35.1
BTC-7DEC25-92000-C,call,7DEC25,92000.0,0.00626,92496.54285714285,0.01492373,1380.3934315334284,38.29,0.0145,0.0155,0.067,22.1
BTC-7DEC25-92000-P,put,7DEC25,92000.0,0.00626,92496.54285714285,0.0095555,883.8507152714285,38.29,0.009,0.01,0.1047,29.9
BTC-7DEC25-93000-C,call,7DEC25,93000.0,0.00626,92496.54285714285,0.00915239,846.5644338802856,36.89,0.0085,0.0095,0.1093,30.1
BTC-7DEC25-93000-P,put,7DEC25,93000.0,0.00626,92496.54285714285,0.01459537,1350.021266720857,36.89,0.014,0.015,0.0685,29.2
BTC-7DEC25-94000-C,call,7DEC25,94000.0,0.00626,92496.54285714285,0.00518677,479.75829359514285,36.27,0.0048,0.0055,0.135,110.9
BTC-7DEC25-94000-P,put,7DEC25,94000.0,0.00626,92496.54285714285,0.02144097,1983.215600503714,36.27,0.02,0.022,0.0933,160.6
BTC-7DEC25-95000-C,call,7DEC25,95000.0,0.00626,92496.54285714285,0.0027421,253.6347701685714,36.19,0.0024,0.0028,0.1459,16.5
BTC-7DEC25-95000-P,put,7DEC25,95000.0,0.00626,92496.54285714285,0.02980752,2757.092551145143,36.19,0.028,0.0305,0.0839,0.0
BTC-7DEC25-96000-C,call,7DEC25,96000.0,0.00626,92496.54285714285,0.00134591,124.49202199685713,36.29,0.0011,0.0015,0.2972,57.1
BTC-7DEC25-97000-C,call,7DEC25,97000.0,0.00626,92496.54285714285,0.00067321,62.26959761685714,37.18,0.0006,0.0008,0.2971,22.0
BTC-8DEC25-86000-P,put,8DEC25,86000.0,0.009,92508.13714285714,0.00137029,126.7629752454857,51.23,0.0012,0.0015,0.2189,165.1
BTC-8DEC25-88000-C,call,8DEC25,88000.0,0.009,92506.12000000001,0.05147484,4761.7377260208,46.46,0.0505,0.053,0.0486,0.0
BTC-8DEC25-88000-P,put,8DEC25,88000.0,0.009,92506.12000000001,0.00276138,255.4445496456,46.46,0.0025,0.0027,0.0724,28.3
BTC-8DEC25-89000-C,call,8DEC25,89000.0,0.009,92506.12000000001,0.04189884,3875.8991209008004,44.31,0.041,0.0435,0.0597,0.0
BTC-8DEC25-89000-P,put,8DEC25,89000.0,0.009,92506.12000000001,0.00399546,369.60450221520006,44.31,0.0037,0.0042,0.1251,0.4
